Age,Study_Hours,Attendance,Internal_Marks,Result
24,,63,14,Fail
21,,70,28,Fail
22,,76,13,Fail
24,,97,44,Pass
20,,83,26,Pass
22,3.4,64,37,Pass
22,8.5,93,39,Pass
24,4.2,65,38,Pass
19,3.5,81,15,Fail
20,5.9,70,44,Pass
24,2.3,75,46,Pass
20,8.2,92,33,Pass
20,1.7,68,38,Pass
22,9.9,65,40,Pass
21,8.0,75,44,Pass
20,2.8,88,42,Pass
23,1.0,62,30,Fail
22,8.3,79,41,Pass
19,7.4,95,32,Pass
21,7.6,78,42,Pass
23,7.9,85,12,Pass
23,1.7,62,27,Fail
19,4.2,78,34,Pass
21,2.0,79,40,Pass
22,8.8,91,12,Pass
18,6.6,66,49,Pass
21,4.0,92,33,Fail
19,1.6,99,41,Pass
23,3.8,98,31,Fail
22,3.9,77,32,Fail
21,7.6,99,11,Pass
18,6.7,60,36,Pass
18,9.0,70,11,Fail
20,5.2,87,35,Pass
20,2.1,84,26,Fail
24,7.4,82,49,Pass
19,7.8,90,42,Pass
21,6.1,89,18,Pass
21,7.9,94,48,Pass
24,5.4,66,38,Pass
23,5.7,75,35,Pass
23,4.8,85,44,Pass
24,1.2,61,34,Fail
23,2.0,60,33,Fail
20,1.3,71,22,Fail
21,6.7,64,16,Fail
24,3.8,96,45,Pass
21,5.6,91,29,Pass
18,9.2,68,10,Fail
20,3.2,94,17,Fail
22,4.7,78,25,Pass
20,7.8,75,23,Pass
24,3.1,62,21,Fail
22,1.7,79,32,Fail
18,3.6,83,24,Fail
24,2.5,92,37,Pass
19,9.4,83,43,Pass
21,8.3,70,11,Fail
18,6.7,67,41,Pass
21,8.8,95,32,Pass
23,8.2,97,31,Pass
19,2.7,99,34,Fail
19,9.0,79,31,Pass
18,5.9,94,31,Pass
19,8.3,84,15,Pass
22,9.1,94,24,Pass
19,3.9,84,46,Pass
21,2.0,88,42,Pass
21,3.1,77,17,Fail
24,4.8,77,14,Pass
21,8.4,61,48,Pass
24,8.7,94,13,Pass
21,1.1,75,15,Fail
22,5.6,95,41,Pass
24,4.8,92,39,Pass
20,3.0,63,44,Pass
23,2.1,92,49,Pass
18,4.0,73,25,Fail
21,9.5,80,22,Pass
19,3.9,79,39,Pass
21,5.7,67,28,Fail
19,7.3,66,26,Fail
23,4.3,62,28,Fail
23,9.7,76,37,Pass
23,9.7,92,35,Pass
19,3.3,71,46,Pass
21,5.5,81,35,Pass
23,3.7,81,32,Fail
22,3.6,89,18,Fail
24,1.3,97,21,Fail
19,6.5,97,10,Pass
19,5.5,67,10,Fail
21,1.5,86,43,Pass
19,3.5,86,41,Pass
19,9.2,93,34,Pass
23,3.2,80,49,Pass
21,2.3,89,10,Fail
23,5.4,92,25,Pass
24,9.9,87,48,Pass
24,3.2,92,14,Fail
