Age,Study_Hours,Attendance,Internal_Marks,Result
23,2,56,82,Fail
20,4,69,43,Fail
23,2,98,82,Fail
22,2,92,62,Fail
18,1,60,48,Fail
19,1,90,47,Fail
23,7,69,63,Fail
22,5,55,83,Fail
24,2,99,62,Fail
20,5,64,48,Fail
24,6,61,40,Fail
21,2,77,89,Fail
20,5,57,81,Fail
21,2,79,40,Fail
22,5,95,74,Pass
24,6,91,47,Fail
23,2,57,77,Fail
19,5,60,89,Fail
19,2,79,52,Fail
21,6,65,58,Fail
20,4,97,52,Pass
23,2,93,75,Fail
19,4,65,64,Fail
21,5,95,79,Pass
22,4,98,55,Pass
24,1,69,87,Fail
18,6,80,52,Pass
18,4,91,91,Pass
23,6,68,76,Fail
21,7,96,64,Pass
19,5,63,50,Fail
23,5,92,62,Pass
22,7,78,49,Fail
19,8,60,83,Fail
18,2,64,75,Fail
19,7,93,39,Fail
21,7,93,64,Pass
22,5,90,90,Pass
18,2,98,91,Fail
22,5,96,56,Pass
18,5,82,45,Fail
21,1,71,67,Fail
24,3,87,93,Fail
18,5,95,67,Pass
22,4,64,58,Fail
24,3,89,84,Fail
22,1,93,55,Fail
21,1,62,94,Fail
20,5,70,38,Fail
19,2,60,81,Fail
21,2,89,84,Fail
19,3,97,65,Fail
22,3,71,68,Fail
24,7,68,94,Fail
22,4,100,54,Pass
21,6,83,92,Pass
22,8,62,50,Fail
19,2,76,36,Fail
22,4,92,49,Fail
18,2,100,75,Fail
18,4,59,92,Fail
18,6,59,67,Fail
19,5,97,66,Pass
19,3,91,71,Fail
21,4,85,86,Pass
21,4,61,41,Fail
23,7,77,62,Pass
21,8,58,78,Fail
23,2,58,60,Fail
23,6,61,50,Fail
19,4,89,63,Pass
19,7,66,52,Fail
21,4,59,63,Fail
24,2,58,76,Fail
22,1,60,94,Fail
24,4,65,61,Fail
21,8,68,90,Fail
21,1,65,59,Fail
18,7,71,94,Pass
24,8,73,62,Pass
23,8,64,47,Fail
20,4,58,72,Fail
23,1,75,38,Fail
18,8,87,93,Pass
24,3,58,67,Fail
18,3,59,73,Fail
18,4,80,42,Fail
22,4,92,73,Pass
18,2,81,77,Fail
22,6,71,48,Fail
23,6,70,51,Pass
21,3,97,76,Fail
20,8,75,94,Pass
24,2,55,64,Fail
22,2,59,69,Fail
19,5,63,94,Fail
20,2,70,58,Fail
20,3,83,88,Fail
22,5,94,86,Pass
23,1,97,87,Fail
22,5,85,87,pass
24,3,89,96,pass
