Age,Study_Hours,Attendance,Internal_Marks,Result
17,1,76,36,Pass
18,1,90,24,Pass
15,2,100,18,Pass
16,1,94,18,Pass
16,2,100,21,Pass
15,2,98,19,Pass
18,3,100,37,Pass
15,4,94,24,Pass
16,2,98,32,Pass
15,2,100,17,Pass
15,2,100,29,Pass
18,2,100,26,Pass
15,2,100,29,Pass
15,2,98,14,Fail
17,1,88,23,Pass
15,2,98,37,Pass
18,1,97,26,Pass
17,2,94,24,Pass
17,3,90,22,Pass
18,2,100,30,Pass
16,4,100,22,Pass
16,1,96,28,Pass
20,2,89,18,Pass
17,2,98,24,Pass
18,2,94,11,Fail
18,2,100,15,Fail
15,2,92,18,Pass
16,2,82,16,Fail
18,2,98,16,Pass
15,2,100,34,Pass
19,1,95,17,Pass
20,3,96,29,Pass
18,4,100,27,Pass
15,2,96,29,Pass
19,2,97,24,Pass
15,2,98,24,Pass
15,1,90,37,Pass
18,3,99,25,Pass
16,1,98,32,Pass
16,1,92,18,Pass
19,1,62,17,Pass
16,2,92,17,Pass
15,4,92,22,Pass
16,1,86,15,Pass
15,2,90,13,Fail
18,1,95,13,Fail
16,1,100,13,Fail
16,2,90,17,Pass
16,2,98,30,Pass
17,2,100,24,Pass
16,2,88,23,Pass
18,3,92,27,Pass
17,2,100,15,Fail
16,4,100,28,Pass
18,2,100,20,Fail
15,1,92,27,Pass
18,2,88,24,Pass
17,3,100,22,Pass
15,2,100,20,Pass
15,3,92,20,Pass
16,2,100,15,Pass
16,2,98,25,Pass
16,2,100,13,Fail
17,1,98,16,Pass
16,3,100,33,Pass
15,2,100,33,Pass
18,2,98,22,Pass
18,1,93,15,Pass
17,1,96,32,Pass
16,1,98,24,Pass
17,2,98,26,Pass
15,4,100,16,Fail
16,2,90,30,Pass
15,2,92,16,Fail
19,3,100,12,Fail
16,1,100,28,Pass
18,2,84,17,Fail
18,1,100,21,Pass
17,2,96,19,Pass
17,2,98,22,Pass
15,3,98,29,Pass
17,1,84,11,Fail
18,2,96,17,Pass
18,2,92,8,Fail
17,2,96,11,Fail
16,3,98,19,Pass
17,1,96,24,Pass
19,1,96,16,Pass
15,4,94,23,Pass
16,3,100,14,Pass
17,2,96,22,Pass
18,4,100,19,Fail
17,2,80,16,Pass
17,1,97,14,Pass
19,4,90,16,Pass
17,2,83,20,Pass
18,1,93,11,Fail
17,1,70,16,Pass
17,3,99,26,Pass
15,2,94,18,Pass
