Age,Study_Hours,Attendance,Internal_Marks,Result
23,7.8,96.3,28.8,Fail
20,6.4,,31.6,Fail
21,7.6,65.8,45.5,Fail
23,7.3,79.6,29.5,Fail
19,5.2,99.4,25.1,Fail
24,,69.7,36.7,Fail
21,1.6,86.9,48.1,Fail
21,2.4,90.5,40.9,Fail
23,1.3,69.5,37.1,Fail
18,3.3,89.1,22.9,Fail
19,3.7,74.7,38.5,Fail
23,2.9,85.3,49.7,Fail
19,6.8,85.3,24.2,Fail
19,3.5,81.4,35.5,Pass
24,3.0,63.6,46.3,Fail
21,4.8,93.4,42.2,Pass
20,2.0,72.8,40.9,Fail
24,6.6,67.5,41.1,Fail
24,1.5,61.6,30.8,Fail
19,7.9,83.6,28.8,Fail
22,6.4,87.1,44.3,Pass
21,2.4,60.7,44.3,Fail
18,1.0,80.5,46.0,Fail
24,6.7,69.1,47.4,Fail
20,5.9,85.8,35.3,Pass
22,6.1,67.0,35.0,Fail
22,6.4,87.6,43.9,Pass
18,1.5,75.5,39.5,Fail
24,3.5,97.5,41.1,Pass
20,1.8,65.5,43.9,Fail
21,,73.6,46.7,Fail
17,5.4,64.5,30.1,Fail
20,3.3,97.0,31.3,Pass
18,1.4,95.1,22.8,Fail
22,3.2,70.3,37.3,Fail
21,3.3,86.4,21.1,Fail
20,6.1,92.7,34.0,Pass
17,5.5,82.2,36.3,Pass
17,7.2,81.2,28.6,Fail
19,4.3,69.7,37.7,Fail
19,1.8,63.7,20.9,Fail
23,6.0,95.9,21.1,Fail
18,6.3,96.0,44.7,Pass
24,4.9,85.3,30.8,Pass
20,6.4,73.6,23.8,Fail
20,4.5,74.0,35.7,Fail
24,4.7,89.0,43.1,Pass
23,4.0,95.9,26.5,Fail
22,1.2,95.5,38.7,Fail
22,1.8,91.2,22.6,Fail
23,1.2,,21.6,Fail
22,5.5,63.4,35.9,Fail
19,3.2,66.5,36.2,Fail
20,4.6,95.9,39.1,Pass
23,7.4,84.3,41.8,Pass
20,2.7,60.4,49.3,Fail
24,3.9,64.1,35.5,Fail
17,6.3,86.5,29.7,Fail
19,2.6,60.2,43.9,Fail
21,1.5,66.4,28.1,Fail
19,3.0,81.9,33.2,Pass
23,2.1,87.7,22.4,Fail
21,7.5,86.1,20.8,Fail
17,6.7,69.0,48.9,Fail
23,5.4,88.5,45.1,Pass
18,7.1,69.5,40.9,Fail
20,6.6,73.0,32.3,Fail
17,,89.9,25.2,Fail
20,7.2,86.0,24.7,Fail
22,4.8,94.0,27.5,Fail
18,6.7,86.3,36.5,Pass
18,7.3,82.7,41.4,Pass
17,3.2,63.7,39.8,Fail
18,1.8,74.7,28.4,Fail
21,2.6,70.6,48.6,Fail
18,4.0,69.8,42.1,Fail
20,6.7,98.9,36.6,Pass
20,7.0,75.7,38.4,Pass
23,1.0,95.7,32.6,Fail
20,4.6,85.2,27.4,Fail
23,3.9,91.8,30.7,Pass
20,2.6,80.1,42.7,Fail
21,1.8,83.1,20.4,Fail
24,3.4,79.7,23.5,Fail
23,7.6,67.8,21.4,Fail
19,3.3,88.9,21.2,Fail
22,4.6,71.2,45.7,Fail
17,5.9,61.0,41.1,Fail
20,3.5,85.8,34.2,Pass
18,7.8,67.1,22.9,Fail
24,7.7,97.6,34.7,Pass
20,2.8,98.2,34.2,Fail
18,4.5,96.6,25.2,Fail
22,3.1,74.8,33.0,Fail
22,3.0,60.6,32.0,Fail
22,1.3,97.1,38.5,Fail
18,5.3,,39.1,Pass
20,4.5,98.7,21.4,Fail
22,1.4,98.5,31.2,Fail
21,3.0,94.1,38.8,Pass
