Age,Study_Hours,Attendance,Internal_Marks,Result
19.0,1.1,52.0,36.0,Fail
21.0,6.9,64.0,28.0,Fail
17.0,6.5,70.0,53.0,Fail
17.0,5.4,92.0,56.0,Pass
24.0,7.8,87.0,36.0,Fail
,6.6,92.0,44.0,Pass
17.0,6.5,100.0,,Fail
18.0,3.5,63.0,32.0,
24.0,4.7,51.0,28.0,Fail
21.0,,56.0,53.0,Fail
17.0,2.0,,28.0,Fail
19.0,6.7,78.0,61.0,Pass
19.0,5.8,99.0,51.0,Pass
24.0,1.5,52.0,31.0,Fail
24.0,1.4,86.0,96.0,Pass
19.0,1.4,58.0,90.0,Fail
24.0,5.8,71.0,40.0,Fail
20.0,7.4,77.0,99.0,Pass
20.0,6.7,56.0,97.0,Fail
20.0,2.7,54.0,99.0,Fail
17.0,5.5,63.0,83.0,Fail
22.0,3.2,64.0,73.0,Fail
19.0,3.1,96.0,63.0,Pass
18.0,6.8,75.0,35.0,Fail
19.0,3.1,87.0,37.0,Fail
,7.3,88.0,23.0,Fail
18.0,3.2,72.0,65.0,
22.0,5.1,64.0,49.0,Fail
18.0,3.3,64.0,90.0,Fail
21.0,,98.0,,Pass
,4.8,59.0,,Fail
,,86.0,92.0,Pass
23.0,7.7,56.0,89.0,Fail
19.0,5.1,,38.0,Fail
17.0,6.2,90.0,42.0,Pass
17.0,1.1,53.0,97.0,Fail
20.0,1.2,,50.0,Fail
18.0,3.0,65.0,87.0,Fail
24.0,3.9,96.0,92.0,Pass
19.0,1.2,80.0,68.0,Pass
18.0,6.8,62.0,67.0,
20.0,7.8,63.0,55.0,Fail
21.0,,64.0,32.0,Fail
22.0,4.1,78.0,44.0,Pass
24.0,2.5,,75.0,Pass
22.0,2.7,55.0,49.0,Fail
22.0,1.9,91.0,95.0,
21.0,6.5,76.0,57.0,Pass
20.0,2.5,94.0,26.0,Fail
19.0,6.1,89.0,60.0,Pass
24.0,7.6,84.0,29.0,Fail
24.0,5.0,81.0,83.0,Pass
20.0,2.1,70.0,28.0,Fail
22.0,3.2,50.0,,Fail
21.0,2.6,68.0,71.0,Fail
24.0,2.4,93.0,90.0,Pass
,1.1,100.0,39.0,Fail
23.0,2.7,62.0,,Fail
23.0,6.0,65.0,51.0,Fail
,5.2,59.0,,Fail
19.0,7.3,63.0,21.0,
22.0,,50.0,69.0,Fail
24.0,2.8,,81.0,
21.0,1.4,70.0,61.0,Fail
18.0,3.8,71.0,89.0,Fail
23.0,6.4,53.0,46.0,Fail
18.0,2.9,70.0,33.0,Fail
,3.0,75.0,39.0,Fail
21.0,5.9,98.0,88.0,Pass
21.0,1.6,50.0,95.0,Fail
23.0,2.9,54.0,36.0,Fail
23.0,6.2,99.0,70.0,Pass
18.0,6.7,81.0,97.0,Pass
22.0,4.6,73.0,68.0,Fail
23.0,3.9,75.0,46.0,
21.0,,91.0,68.0,Pass
24.0,1.7,51.0,67.0,Fail
22.0,,89.0,92.0,Pass
18.0,3.2,51.0,37.0,Fail
17.0,4.0,,36.0,Fail
20.0,4.5,94.0,57.0,Pass
18.0,2.1,87.0,29.0,Fail
21.0,2.1,,21.0,Fail
18.0,7.4,91.0,48.0,Pass
19.0,1.6,,,Fail
21.0,2.8,86.0,65.0,Pass
17.0,2.0,91.0,23.0,Fail
24.0,6.8,67.0,80.0,
18.0,8.0,59.0,38.0,Fail
20.0,3.4,65.0,,Fail
24.0,6.2,81.0,66.0,Pass
19.0,,73.0,50.0,Fail
17.0,2.1,58.0,38.0,Fail
,4.3,82.0,90.0,Pass
18.0,2.2,80.0,90.0,Pass
17.0,6.9,86.0,59.0,Pass
24.0,3.6,92.0,22.0,Fail
17.0,5.0,73.0,42.0,Fail
18.0,4.3,75.0,84.0,Pass
18.0,3.1,54.0,41.0,Fail
