Age,Study_Hours,Attendance,Internal_Marks,Result
24,4,78,44,Pass
20,5,70,53,Pass
20,6,51,59,Fail
23,2,70,62,Pass
21,2,71,78,Pass
20,3,91,89,Pass
24,6,96,91,Pass
20,4,52,80,Fail
24,5,58,68,Fail
19,4,74,89,Pass
23,2,58,82,Fail
19,4,77,89,Pass
24,4,57,76,Fail
20,6,66,65,Pass
19,4,51,35,Fail
23,2,53,83,Fail
22,7,67,73,Pass
19,2,85,43,Pass
24,7,57,91,Fail
22,5,67,82,Pass
19,1,94,70,Pass
22,7,94,94,Pass
18,7,58,30,Fail
21,7,60,37,Fail
20,3,82,34,Fail
19,7,90,57,Pass
24,1,57,41,Fail
19,1,97,52,Pass
23,5,84,73,Pass
23,3,84,94,Pass
20,5,96,32,Fail
18,5,75,43,Pass
24,3,58,44,Fail
19,2,62,80,Pass
24,7,98,81,Pass
22,4,79,52,Pass
24,5,64,72,Pass
22,4,62,61,Pass
24,3,71,57,Pass
19,2,94,91,Pass
18,5,55,57,Fail
21,4,93,59,Pass
23,3,77,91,Pass
18,1,76,91,Pass
18,4,62,32,Fail
24,6,57,56,Fail
18,6,86,80,Pass
19,4,73,88,Pass
23,1,98,91,Pass
18,2,61,68,Pass
19,3,98,85,Pass
18,3,98,31,Fail
19,4,72,30,Fail
20,6,51,82,Fail
21,2,81,99,Pass
24,4,60,85,Fail
20,1,87,53,Pass
22,4,83,99,Pass
23,3,97,45,Pass
18,1,55,32,Fail
21,4,85,48,Pass
19,3,68,49,Pass
24,4,90,62,Pass
24,2,89,30,Fail
20,4,74,79,Pass
24,7,79,71,Pass
20,7,65,89,Pass
18,2,50,77,Fail
23,4,54,66,Fail
20,7,58,48,Fail
20,4,73,83,Pass
18,4,60,65,Fail
23,4,84,54,Pass
22,2,95,95,Pass
23,3,65,90,Pass
18,4,82,97,Pass
18,6,70,77,Pass
21,7,52,46,Fail
18,4,71,51,Pass
23,6,87,80,Pass
23,3,76,50,Pass
23,1,77,93,Pass
18,5,97,48,Pass
21,3,98,46,Pass
21,4,79,75,Pass
22,6,84,66,Pass
22,1,95,82,Pass
24,3,82,92,Pass
22,5,81,62,Pass
20,2,74,83,Pass
19,3,89,75,Pass
19,7,71,52,Pass
19,7,76,31,Fail
19,1,89,62,Pass
18,3,97,68,Pass
22,2,75,79,Pass
18,5,56,86,Fail
21,5,69,94,Pass
23,6,61,44,Pass
21,2,51,61,Fail
