Age,Study_Hours,Attendance,Internal_Marks,Result
24,2.0,90.0,34.0,Fail
21,10.0,98.0,47.0,Pass
22,2.0,98.0,24.0,Fail
24,10.0,61.0,34.0,Fail
20,4.0,88.0,24.0,Pass
25,,51.0,28.0,Fail
22,7.0,52.0,17.0,Fail
22,9.0,98.0,45.0,Pass
24,8.0,86.0,17.0,Fail
19,5.0,98.0,1.0,Fail
20,2.0,66.0,34.0,Fail
24,5.0,98.0,15.0,Fail
20,8.0,51.0,40.0,Fail
20,10.0,51.0,35.0,Fail
25,9.0,77.0,32.0,Pass
22,9.0,,3.0,Fail
21,1.0,86.0,32.0,Fail
25,9.0,81.0,13.0,Fail
25,7.0,82.0,20.0,Pass
20,9.0,50.0,47.0,Fail
23,8.0,68.0,19.0,Fail
22,1.0,51.0,7.0,Fail
19,8.0,93.0,6.0,Fail
25,8.0,75.0,2.0,Fail
21,3.0,81.0,16.0,Fail
23,1.0,55.0,32.0,Fail
23,8.0,81.0,47.0,Pass
19,3.0,53.0,11.0,Fail
25,3.0,60.0,50.0,Fail
21,1.0,66.0,21.0,Fail
22,5.0,87.0,21.0,Pass
18,10.0,73.0,45.0,Fail
21,7.0,54.0,29.0,Fail
19,10.0,83.0,37.0,Pass
23,9.0,55.0,37.0,Fail
22,7.0,71.0,44.0,Fail
21,9.0,60.0,50.0,Fail
18,8.0,97.0,7.0,Fail
18,2.0,65.0,26.0,Fail
20,1.0,82.0,26.0,Fail
20,7.0,58.0,,Fail
24,7.0,55.0,20.0,Fail
19,8.0,65.0,29.0,Fail
25,5.0,78.0,32.0,Pass
21,3.0,52.0,27.0,Fail
21,8.0,69.0,46.0,Fail
25,6.0,85.0,32.0,Pass
24,3.0,68.0,4.0,Fail
23,1.0,75.0,47.0,Fail
23,3.0,52.0,18.0,Fail
24,5.0,68.0,3.0,Fail
23,3.0,69.0,34.0,Fail
20,1.0,81.0,48.0,Fail
21,5.0,56.0,16.0,Fail
24,10.0,90.0,43.0,Pass
21,7.0,82.0,27.0,Pass
25,7.0,89.0,29.0,Pass
18,9.0,88.0,28.0,Pass
20,10.0,67.0,45.0,Fail
22,10.0,89.0,5.0,Fail
20,3.0,50.0,34.0,Fail
24,7.0,60.0,40.0,Fail
22,1.0,77.0,36.0,Fail
18,4.0,74.0,23.0,Fail
24,4.0,99.0,28.0,Pass
19,5.0,72.0,48.0,Fail
21,7.0,80.0,45.0,Pass
18,7.0,79.0,30.0,Pass
21,4.0,91.0,34.0,Pass
23,7.0,84.0,32.0,Pass
19,3.0,56.0,20.0,Fail
19,6.0,65.0,31.0,Fail
18,2.0,75.0,22.0,Fail
19,10.0,97.0,32.0,Pass
22,9.0,98.0,2.0,Fail
19,5.0,51.0,17.0,Fail
21,6.0,50.0,24.0,Fail
21,4.0,97.0,41.0,Pass
24,10.0,61.0,30.0,Fail
21,7.0,54.0,2.0,Fail
24,9.0,86.0,39.0,Pass
21,7.0,81.0,45.0,Pass
22,1.0,58.0,23.0,Fail
25,1.0,90.0,49.0,Fail
24,9.0,84.0,31.0,Pass
20,9.0,68.0,46.0,Fail
23,4.0,97.0,21.0,Pass
18,9.0,65.0,22.0,Fail
21,3.0,52.0,1.0,Fail
19,7.0,69.0,26.0,Fail
25,6.0,73.0,41.0,Fail
21,8.0,82.0,1.0,Fail
19,9.0,73.0,25.0,Fail
23,5.0,60.0,16.0,Fail
23,1.0,98.0,39.0,Fail
23,3.0,57.0,32.0,Fail
19,10.0,85.0,8.0,Fail
21,8.0,87.0,42.0,Pass
23,6.0,89.0,47.0,Pass
22,8.0,69.0,38.0,Fail
