Age,Study_Hours,Attendance,Internal_Marks,Result
24,1.6,53,88,Fail
21,2.4,60,51,Fail
22,1.3,66,59,Fail
24,3.3,87,67,Pass
20,3.7,73,80,Fail
22,2.9,54,83,Fail
22,6.8,83,37,Fail
24,3.5,55,56,Fail
19,3.0,71,56,Fail
20,4.8,60,50,Fail
24,2.0,97,59,Fail
20,6.6,65,57,Fail
20,1.5,82,93,Fail
22,7.9,58,98,Fail
21,6.4,55,90,Fail
20,2.4,65,77,Fail
23,1.0,78,48,Fail
22,6.7,52,33,Fail
19,5.9,69,64,Fail
21,6.1,85,93,Pass
23,6.4,68,78,Fail
23,1.5,75,46,Fail
19,3.5,52,73,Fail
21,1.8,68,59,Fail
22,7.0,69,75,Fail
18,5.4,81,35,Fail
21,3.3,56,66,Fail
19,1.4,90,53,Fail
23,3.2,82,75,Pass
22,3.3,89,82,Pass
21,6.1,88,89,Pass
18,5.5,67,92,Fail
18,7.2,89,61,Pass
20,4.3,50,62,Fail
20,1.8,60,96,Fail
24,6.0,77,47,Pass
19,6.3,74,54,Fail
21,4.9,99,83,Pass
21,6.4,72,87,Fail
24,4.5,80,96,Pass
23,4.7,79,75,Pass
23,4.0,91,53,Pass
24,1.2,84,61,Fail
23,1.8,56,76,Fail
20,1.2,65,52,Fail
21,5.5,75,95,Pass
24,3.2,97,56,Pass
21,4.6,98,31,Fail
18,7.4,51,46,Fail
20,2.7,50,62,Fail
22,3.9,97,38,Fail
20,6.3,61,72,Fail
24,2.6,54,77,Fail
22,1.5,86,68,Fail
18,3.0,81,71,Pass
24,2.1,58,55,Fail
19,7.5,90,79,Pass
21,6.7,84,54,Pass
18,5.4,68,53,Fail
21,7.1,97,42,Pass
23,6.6,65,89,Fail
19,2.3,52,36,Fail
19,7.2,69,86,Fail
18,4.8,73,65,Fail
19,6.7,82,74,Pass
22,7.3,73,49,Fail
19,3.2,60,94,Fail
21,1.8,98,37,Fail
21,2.6,57,45,Fail
24,4.0,85,43,Pass
21,6.7,87,44,Pass
24,7.0,89,95,Pass
21,1.0,69,61,Fail
22,4.6,84,92,Pass
24,3.9,97,80,Pass
20,2.6,74,54,Fail
23,1.8,84,87,Fail
18,3.4,74,92,Fail
21,7.6,78,91,Pass
19,3.3,67,51,Fail
21,4.6,95,87,Pass
19,5.9,67,87,Fail
23,3.5,51,78,Fail
23,7.8,84,81,Pass
23,7.7,65,71,Fail
19,2.8,90,99,Fail
21,4.5,85,44,Pass
23,3.1,82,83,Pass
22,3.0,53,89,Fail
24,1.3,82,37,Fail
19,5.3,63,82,Fail
19,4.5,70,89,Fail
21,1.4,97,34,Fail
19,3.0,69,97,Fail
19,7.4,57,35,Fail
23,2.7,56,76,Fail
21,2.0,52,84,Fail
23,4.4,66,69,Fail
24,7.9,82,81,Pass
24,2.7,97,45,Fail
