Age,Study_Hours,Attendance,Internal_Marks,Result
24,9.7,,40,Pass
21,8.0,50.0,67,Fail
22,9.5,68.0,39,Fail
24,9.1,,27,Fail
20,6.4,93.0,26,Fail
25,9.3,75.0,86,Pass
22,,81.0,36,Fail
22,2.8,55.0,52,Fail
24,1.4,81.0,67,Fail
19,3.9,53.0,95,Fail
20,4.5,60.0,78,Fail
24,3.4,66.0,41,Fail
20,8.5,87.0,49,Pass
20,4.2,73.0,57,Fail
25,3.5,54.0,70,Fail
22,5.9,83.0,73,Pass
21,2.3,55.0,27,Fail
25,8.2,71.0,46,Fail
25,1.7,60.0,46,Fail
20,9.9,97.0,40,Pass
23,8.0,65.0,49,Fail
22,2.8,82.0,47,Fail
19,1.0,58.0,83,Fail
25,8.3,55.0,88,Fail
21,7.4,65.0,80,Fail
23,7.6,78.0,67,Pass
23,,52.0,38,Fail
19,1.7,69.0,23,Fail
25,4.2,85.0,54,Pass
21,2.0,68.0,83,Fail
22,8.8,75.0,68,Pass
18,6.6,,36,Fail
21,4.0,68.0,63,Fail
19,1.6,69.0,49,Fail
23,3.8,81.0,65,Fail
22,3.9,56.0,25,Fail
21,7.6,90.0,56,Pass
18,6.7,82.0,43,Pass
18,9.0,89.0,65,Pass
20,5.2,88.0,72,Pass
20,,67.0,79,Fail
24,7.4,89.0,82,Pass
19,7.8,50.0,51,Fail
25,6.1,60.0,52,Fail
21,7.9,,86,Pass
21,5.4,74.0,37,Fail
25,5.7,99.0,44,Pass
24,4.8,72.0,73,Fail
23,1.2,80.0,77,Fail
23,2.0,79.0,86,Fail
24,1.3,91.0,65,Fail
23,6.7,84.0,43,Pass
20,3.8,56.0,51,Fail
21,5.6,65.0,66,Fail
24,9.2,75.0,42,Pass
21,3.2,97.0,85,Fail
25,4.7,98.0,46,Pass
18,7.8,51.0,21,Fail
20,3.1,,36,Fail
22,1.7,97.0,52,Fail
20,3.6,61.0,28,Fail
24,2.5,54.0,62,Fail
22,9.4,86.0,67,Pass
18,8.3,81.0,58,Pass
24,6.7,58.0,61,Fail
19,8.8,90.0,45,Pass
21,8.2,84.0,69,Pass
18,2.7,68.0,44,Fail
21,9.0,97.0,43,Pass
23,5.9,65.0,32,Fail
19,8.3,52.0,79,Fail
19,9.1,69.0,26,Fail
18,3.9,73.0,76,Fail
19,2.0,82.0,55,Fail
22,3.1,73.0,64,Fail
19,4.8,60.0,39,Fail
21,8.4,98.0,84,Pass
21,,57.0,27,Fail
24,1.1,85.0,35,Fail
21,5.6,87.0,33,Fail
24,4.8,89.0,95,Pass
21,3.0,69.0,34,Fail
22,2.1,84.0,85,Fail
25,4.0,97.0,51,Pass
24,9.5,74.0,82,Fail
20,3.9,84.0,70,Fail
23,5.7,74.0,44,Fail
18,7.3,78.0,77,Pass
21,4.3,67.0,82,Fail
19,9.7,95.0,81,Pass
25,9.7,67.0,41,Fail
21,3.3,51.0,77,Fail
19,5.5,84.0,77,Pass
23,,65.0,68,Fail
23,3.6,90.0,71,Fail
23,1.3,85.0,61,Fail
19,6.5,82.0,89,Pass
21,5.5,53.0,34,Fail
23,1.5,82.0,73,Fail
22,3.5,63.0,79,Fail
