Age,Study_Hours,Attendance,Internal_Marks,Result
18,2,75,55,Pass
19,3,85,72,Pass
20,1,60,40,Fail
21,4,90,88,Pass
22,2,65,50,Fail
18,5,95,92,Pass
19,1,55,35,Fail
20,3,78,68,Pass
21,2,70,60,Pass
22,4,88,80,Pass
18,1,50,30,Fail
19,4,85,75,Pass
20,2,65,52,Fail
21,3,75,65,Pass
22,5,92,90,Pass
18,2,70,55,Pass
19,1,60,42,Fail
20,4,85,78,Pass
21,2,68,58,Fail
22,3,75,65,Pass
18,5,95,94,Pass
19,2,72,60,Pass
20,1,55,35,Fail
21,4,88,82,Pass
22,3,80,70,Pass
18,1,52,32,Fail
19,5,93,91,Pass
20,2,65,54,Fail
21,3,78,67,Pass
22,4,85,77,Pass
18,2,73,58,Pass
19,1,60,40,Fail
20,4,90,85,Pass
21,2,65,50,Fail
22,5,95,92,Pass
18,3,80,70,Pass
19,2,68,55,Fail
20,4,85,80,Pass
21,1,58,38,Fail
22,3,78,65,Pass
18,5,92,90,Pass
19,2,70,60,Pass
20,1,55,35,Fail
21,4,88,82,Pass
22,3,75,68,Pass
18,1,50,30,Fail
19,4,85,78,Pass
20,2,65,55,Fail
21,3,75,65,Pass
22,5,95,93,Pass
18,2,72,60,Pass
19,1,58,40,Fail
20,4,85,80,Pass
21,2,65,50,Fail
22,3,78,68,Pass
18,5,92,90,Pass
19,2,70,60,Pass
20,1,55,35,Fail
21,4,88,82,Pass
22,3,75,68,Pass
18,1,52,32,Fail
19,5,93,91,Pass
20,2,65,54,Fail
21,3,78,67,Pass
22,4,85,77,Pass
18,2,73,58,Pass
19,1,60,40,Fail
20,4,90,85,Pass
21,2,65,50,Fail
22,5,95,92,Pass
18,3,80,70,Pass
19,2,68,55,Fail
20,4,85,80,Pass
21,1,58,38,Fail
22,3,78,65,Pass
18,5,92,90,Pass
19,2,70,60,Pass
20,1,55,35,Fail
21,4,88,82,Pass
22,3,75,68,Pass
18,1,50,30,Fail
19,4,85,78,Pass
20,2,65,55,Fail
21,3,75,65,Pass
22,5,95,93,Pass
