Age,Study Hours,Attendance,Internal Marks,Result
18,4.1,96,82,Pass
25,3.9,60,57,Fail
23,6.7,76,41,Fail
24,6.8,61,68,Fail
20,6.5,79,70,Pass
22,4.9,74,62,Fail
25,5.0,67,74,Fail
25,7.3,68,53,Fail
21,2.4,96,63,Pass
21,5.3,66,66,Fail
20,2.2,86,78,Pass
18,6.8,67,81,Fail
18,6.0,93,58,Pass
19,6.5,61,70,Fail
20,4.2,73,40,Fail
23,5.5,85,87,Pass
22,7.1,62,60,Fail
19,6.9,73,85,Fail
21,5.2,62,54,Fail
21,5.1,64,80,Fail
23,2.3,72,82,Fail
22,2.2,83,41,Fail
25,6.9,62,76,Fail
23,6.9,98,91,Pass
20,2.5,67,84,Fail
20,7.2,84,55,Pass
25,7.9,91,47,Fail
23,7.4,78,93,Pass
24,7.9,64,61,Fail
23,3.0,63,92,Fail
19,6.2,86,60,Pass
24,6.0,82,93,Pass
23,5.2,80,42,Fail
18,4.1,82,95,Pass
21,2.3,61,71,Fail
25,3.6,88,95,Pass
18,6.7,78,69,Pass
22,3.3,87,70,Pass
20,3.7,94,91,Pass
25,6.2,82,93,Pass
19,5.7,81,67,Pass
19,7.3,69,42,Fail
22,2.9,80,40,Fail
24,2.5,73,67,Fail
25,3.3,77,61,Pass
25,2.2,88,42,Fail
21,2.1,76,90,Pass
19,4.3,71,90,Fail
20,3.4,81,53,Pass
20,4.6,76,95,Pass
24,5.2,81,87,Pass
21,5.2,93,56,Pass
22,7.9,100,42,Fail
24,5.7,84,79,Pass
22,8.0,95,78,Pass
18,7.1,95,90,Pass
24,4.4,75,68,Pass
24,5.7,67,49,Fail
24,3.4,73,85,Fail
22,2.7,64,69,Fail
23,4.7,92,61,Pass
23,5.4,76,88,Pass
19,5.1,66,68,Fail
23,5.1,84,92,Pass
21,6.2,77,47,Fail
25,7.9,73,86,Fail
19,3.2,60,59,Fail
18,4.6,65,52,Fail
25,7.0,82,84,Pass
18,3.9,98,51,Pass
19,2.7,94,65,Pass
22,7.4,87,89,Pass
20,4.0,98,90,Pass
24,6.6,86,55,Pass
22,5.3,83,68,Pass
21,4.9,64,56,Fail
20,3.7,88,85,Pass
25,2.6,99,84,Pass
25,3.0,77,77,Pass
18,7.4,96,51,Pass
19,4.7,86,55,Pass
19,6.3,89,55,Pass
21,2.0,63,42,Fail
19,7.4,92,85,Pass
22,3.7,61,88,Fail
22,6.3,93,89,Pass
21,4.7,70,49,Fail
19,7.9,66,61,Fail
24,2.3,74,77,Fail
18,5.2,96,66,Pass
21,2.0,61,63,Fail
22,5.0,79,40,Fail
23,5.1,80,80,Pass
24,5.6,66,68,Fail
25,5.5,83,86,Pass
21,5.3,89,52,Pass
25,4.3,85,60,Pass
22,5.7,79,79,Pass
24,3.7,79,92,Pass
20,7.3,84,94,Pass
