Age,Study_Hours,Attendance,Internal_Marks,Result
22,3.2,69,43,Fail
19,4.3,68,42,Fail
21,4.3,74,32,Fail
21,5.2,96,25,Fail
22,3.7,68,33,Fail
19,1.2,79,38,Fail
18,1.5,58,49,Fail
19,5.0,62,37,Fail
20,3.0,97,42,Pass
20,4.4,87,27,Fail
18,3.5,88,28,Fail
22,3.0,66,25,Fail
18,4.9,82,42,Pass
22,5.8,59,36,Fail
18,2.3,93,26,Fail
21,3.6,86,30,Fail
20,5.3,85,30,Fail
21,3.3,69,47,Fail
22,1.6,99,41,Fail
22,5.0,98,34,Fail
23,3.5,67,44,Fail
18,2.0,71,36,Fail
18,5.4,81,43,Pass
23,2.3,87,45,Fail
18,2.2,98,27,Fail
21,2.9,88,40,Pass
23,2.9,63,33,Fail
18,2.2,85,45,Fail
20,1.9,88,41,Fail
18,3.0,70,35,Pass
19,5.2,77,25,Fail
22,4.9,89,38,Pass
19,4.2,67,27,Fail
21,3.5,59,47,Fail
21,3.4,99,28,Fail
18,3.4,75,34,Fail
21,5.7,98,46,Pass
18,4.7,73,40,Pass
19,1.2,76,45,Fail
18,4.8,77,38,Pass
18,3.6,73,31,Fail
23,1.9,60,34,Fail
22,3.0,94,34,Fail
22,5.7,60,34,Fail
22,2.1,60,29,Fail
20,5.1,61,33,Fail
19,3.0,86,37,Pass
21,3.9,84,27,Fail
18,1.9,71,29,Fail
23,5.1,97,47,Pass
22,3.9,59,30,Fail
18,3.2,93,40,Pass
23,5.0,68,28,Fail
22,3.7,57,30,Fail
21,3.1,67,43,Fail
19,1.1,79,47,Fail
21,4.4,82,39,Pass
21,3.4,71,39,Pass
21,2.1,60,29,Fail
19,3.8,95,44,Pass
21,3.6,84,43,Pass
21,3.4,64,37,Fail
22,2.3,99,30,Fail
21,3.6,94,39,Pass
19,5.9,69,48,Fail
21,4.1,61,30,Fail
19,4.1,57,49,Fail
23,5.5,92,36,Pass
19,5.8,77,46,Pass
23,3.9,64,27,Fail
19,1.8,90,41,Fail
20,3.0,70,34,Fail
21,5.7,75,44,Pass
20,2.7,87,27,Fail
20,4.5,90,43,Pass
23,3.3,76,35,Pass
21,2.9,61,29,Fail
21,3.6,75,28,Fail
20,5.1,55,29,Fail
18,4.2,75,33,Fail
22,5.3,88,32,Fail
23,4.2,76,35,Pass
21,6.0,57,41,Fail
19,3.6,66,27,Fail
19,2.6,66,32,Fail
22,1.5,91,49,Fail
21,3.8,63,35,Fail
22,2.1,98,33,Fail
22,1.1,62,29,Fail
23,2.5,62,25,Fail
22,1.2,76,45,Fail
21,5.9,74,42,Pass
21,3.8,94,48,Pass
18,1.4,77,45,Fail
22,2.7,90,41,Pass
21,2.2,72,42,Fail
18,1.5,88,41,Fail
20,4.9,63,35,Fail
20,2.8,70,47,Pass
21,1.9,65,43,Fail
