Age,Study_Hours,Attendance,Internal_Marks,Result
24,1.6,53,88,0
21,2.4,60,51,0
22,1.3,66,59,0
24,3.3,87,67,1
20,3.7,73,80,0
22,2.9,54,83,0
22,6.8,83,37,0
24,3.5,55,56,0
19,3.0,71,56,0
20,4.8,60,50,0
24,2.0,97,59,0
20,6.6,65,57,0
20,1.5,82,93,0
22,7.9,58,98,0
21,6.4,55,90,0
20,2.4,65,77,0
23,1.0,78,48,0
22,6.7,52,33,0
19,5.9,69,64,0
21,6.1,85,93,1
23,6.4,68,78,0
23,1.5,75,46,0
19,3.5,52,73,0
21,1.8,68,59,0
22,7.0,69,75,0
18,5.4,81,35,0
21,3.3,56,66,0
19,1.4,90,53,0
23,3.2,82,75,1
22,3.3,89,82,1
21,6.1,88,89,1
18,5.5,67,92,0
18,7.2,89,61,1
20,4.3,50,62,0
20,1.8,60,96,0
24,6.0,77,47,1
19,6.3,74,54,0
21,4.9,99,83,1
21,6.4,72,87,0
24,4.5,80,96,1
23,4.7,79,75,1
23,4.0,91,53,1
24,1.2,84,61,0
23,1.8,56,76,0
20,1.2,65,52,0
21,5.5,75,95,1
24,3.2,97,56,1
21,4.6,98,31,0
18,7.4,51,46,0
20,2.7,50,62,0
22,3.9,97,38,0
20,6.3,61,72,0
24,2.6,54,77,0
22,1.5,86,68,0
18,3.0,81,71,1
24,2.1,58,55,0
19,7.5,90,79,1
21,6.7,84,54,1
18,5.4,68,53,0
21,7.1,97,42,1
23,6.6,65,89,0
19,2.3,52,36,0
19,7.2,69,86,0
18,4.8,73,65,0
19,6.7,82,74,1
22,7.3,73,49,0
19,3.2,60,94,0
21,1.8,98,37,0
21,2.6,57,45,0
24,4.0,85,43,1
21,6.7,87,44,1
24,7.0,89,95,1
21,1.0,69,61,0
22,4.6,84,92,1
24,3.9,97,80,1
20,2.6,74,54,0
23,1.8,84,87,0
18,3.4,74,92,0
21,7.6,78,91,1
19,3.3,67,51,0
21,4.6,95,87,1
19,5.9,67,87,0
23,3.5,51,78,0
23,7.8,84,81,1
23,7.7,65,71,0
19,2.8,90,99,0
21,4.5,85,44,1
23,3.1,82,83,1
22,3.0,53,89,0
24,1.3,82,37,0
19,5.3,63,82,0
19,4.5,70,89,0
21,1.4,97,34,0
19,3.0,69,97,0
19,7.4,57,35,0
23,2.7,56,76,0
21,2.0,52,84,0
23,4.4,66,69,0
24,7.9,82,81,1
24,2.7,97,45,0
