Age,Study_Hours,Attendance,Internal_Marks,Result
24,1.62,86.89,41,Fail
21,2.37,90.46,45,Fail
22,1.32,69.51,22,Fail
24,3.28,89.13,27,Fail
20,3.72,74.71,33,Fail
22,2.9,85.29,43,Fail
22,6.8,85.34,37,Pass
24,3.5,81.43,34,Fail
19,2.97,63.61,41,Fail
20,4.8,93.41,42,Pass
24,1.99,72.83,21,Fail
20,6.62,67.46,46,Fail
20,1.52,61.63,29,Fail
22,7.91,83.64,21,Fail
21,6.41,87.1,45,Pass
20,2.39,60.66,36,Fail
23,1.04,80.48,27,Fail
22,6.71,69.06,20,Fail
19,5.95,85.81,28,Fail
21,6.1,66.97,30,Fail
23,6.4,87.64,41,Pass
23,1.52,75.47,35,Fail
19,3.51,97.47,26,Fail
21,1.81,65.5,48,Fail
22,7.04,73.64,29,Fail
18,5.36,64.54,42,Fail
21,3.32,96.99,45,Fail
19,1.44,95.09,22,Fail
23,3.18,70.32,37,Fail
22,3.28,86.4,44,Fail
21,6.11,92.69,43,Pass
18,5.46,82.21,32,Pass
18,7.21,81.19,47,Pass
20,4.31,69.67,45,Fail
20,1.84,63.72,26,Fail
24,5.99,95.89,44,Pass
19,6.33,96.02,23,Fail
21,4.93,85.32,32,Pass
21,6.4,73.56,39,Fail
24,4.46,73.97,20,Fail
23,4.66,89.04,27,Fail
23,3.99,95.88,33,Fail
24,1.18,95.48,35,Fail
23,1.76,91.2,33,Fail
20,1.22,85.68,31,Fail
21,5.45,63.37,38,Fail
24,3.2,66.47,42,Fail
21,4.56,95.94,34,Pass
18,7.35,84.26,47,Pass
20,2.75,60.37,21,Fail
22,3.87,64.06,21,Fail
20,6.29,86.54,42,Pass
24,2.6,60.2,41,Fail
22,1.54,66.43,38,Fail
18,3.03,81.95,44,Fail
24,2.13,87.68,45,Fail
19,7.51,86.08,49,Pass
21,6.66,68.97,48,Fail
18,5.43,88.49,41,Pass
21,7.1,69.49,45,Fail
23,6.63,73.02,45,Fail
19,2.31,89.86,41,Fail
19,7.25,85.99,36,Pass
18,4.78,93.97,39,Pass
19,6.65,86.3,29,Fail
22,7.27,82.73,25,Fail
19,3.23,63.75,34,Fail
21,1.77,74.71,41,Fail
21,2.6,70.61,30,Fail
24,3.99,69.76,47,Fail
21,6.73,98.92,24,Fail
24,7.03,75.72,20,Fail
21,1.05,95.68,27,Fail
22,4.58,85.25,40,Pass
24,3.92,91.79,47,Fail
20,2.55,80.11,31,Fail
23,1.84,83.08,31,Fail
18,3.36,79.7,24,Fail
21,7.6,67.81,26,Fail
19,3.26,88.9,23,Fail
21,4.63,71.23,25,Fail
19,5.92,60.97,32,Fail
23,3.55,85.82,39,Fail
23,7.8,67.08,49,Fail
23,7.74,97.62,34,Pass
19,2.76,98.16,22,Fail
21,4.48,96.59,42,Pass
23,3.11,74.81,27,Fail
22,2.99,60.62,39,Fail
24,1.26,97.13,35,Fail
19,5.27,77.13,32,Pass
19,4.52,98.67,37,Pass
21,1.36,98.54,47,Fail
19,2.95,94.12,29,Fail
19,7.36,71.78,49,Fail
23,2.68,75.4,38,Fail
21,2.01,94.05,36,Fail
23,4.43,72.68,43,Fail
24,7.9,66.78,38,Fail
24,2.69,82.27,47,Fail
