Age,Study_Hours,Attendance,Internal_Marks,Result
24,1.6,53,31,Fail
21,2.4,60,46,Fail
22,1.3,66,38,Fail
24,3.3,87,41,Pass
20,3.7,73,42,Fail
22,2.9,54,41,Fail
22,6.8,83,33,Pass
24,3.5,55,49,Fail
19,,71,25,Fail
20,4.8,60,25,Fail
24,2.0,97,32,Fail
20,6.6,65,38,Fail
20,1.5,82,41,Pass
22,7.9,58,27,Fail
21,6.4,55,46,Fail
20,2.4,65,46,Fail
23,1.0,78,21,Fail
22,6.7,52,40,Fail
19,5.9,69,49,Fail
21,6.1,85,20,Fail
23,6.4,68,47,Fail
23,1.5,75,34,Pass
19,3.5,52,20,Fail
21,1.8,68,24,Fail
22,7.0,69,47,Fail
18,5.4,81,48,Pass
21,3.3,56,35,Fail
19,1.4,90,38,Pass
23,3.2,82,23,Fail
22,3.3,89,22,Fail
21,6.1,88,36,Pass
18,5.5,67,36,Fail
18,7.2,89,31,Pass
20,4.3,50,47,Fail
20,1.8,60,49,Fail
24,6.0,77,48,Pass
19,6.3,74,33,Fail
21,4.9,99,40,Pass
21,6.4,72,25,Fail
24,4.5,80,22,Fail
23,4.7,79,47,Pass
23,4.0,91,28,Fail
24,1.2,84,24,Fail
23,1.8,56,43,Fail
20,1.2,65,48,Fail
21,5.5,75,36,Pass
24,3.2,,33,Pass
21,4.6,98,40,Pass
18,7.4,51,22,Fail
20,2.7,50,47,Fail
22,3.9,97,20,Fail
20,6.3,61,39,Fail
24,2.6,54,48,Fail
22,1.5,86,40,Pass
18,3.0,81,42,Pass
24,2.1,58,20,Fail
19,7.5,90,22,Fail
21,6.7,84,37,Pass
18,5.4,68,44,Fail
21,7.1,97,29,Fail
23,6.6,65,41,Fail
19,2.3,52,45,Fail
19,7.2,69,22,Fail
18,4.8,73,27,Pass
19,6.7,82,33,Pass
22,7.3,73,43,Fail
19,3.2,60,37,Fail
21,1.8,98,34,Pass
21,2.6,57,41,Fail
24,4.0,85,42,Fail
21,6.7,87,21,Fail
24,7.0,89,46,Pass
21,1.0,69,29,Fail
22,4.6,84,21,Fail
24,3.9,97,45,Pass
20,2.6,74,36,Fail
23,1.8,84,27,Fail
18,3.4,74,20,Fail
21,7.6,78,28,Fail
19,3.3,67,30,Fail
21,4.6,95,41,Pass
19,5.9,67,35,Fail
23,3.5,51,26,Fail
23,7.8,84,48,Pass
23,7.7,65,29,Fail
19,2.8,90,42,Pass
21,4.5,85,45,Fail
23,3.1,82,22,Fail
22,3.0,53,37,Fail
24,1.3,82,44,Pass
19,5.3,63,43,Fail
19,4.5,70,32,Pass
21,1.4,97,47,Pass
19,3.0,69,45,Fail
19,7.4,57,26,Fail
23,2.7,56,44,Fail
21,2.0,52,23,Fail
23,4.4,66,32,Fail
24,7.9,82,39,Pass
24,2.7,97,20,Fail
